fold,Acc,Sens,Spec,Prec,F1,Gm,AUC,MCC,BA
1,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8548752834467119,0.6190476190476191,0.8095238095238095
2,0.9024390243902439,0.8095238095238095,1.0,1.0,0.8947368421052632,0.8997354108424374,0.9857142857142857,0.8213423005076353,0.9047619047619048
3,0.8292682926829268,0.8,0.8571428571428571,0.8421052631578947,0.8205128205128205,0.828078671210825,0.9285714285714286,0.6587130932098565,0.8285714285714285
4,0.7317073170731707,0.7,0.7619047619047619,0.7368421052631579,0.717948717948718,0.7302967433402214,0.8571428571428571,0.4630084785605513,0.7309523809523809
5,0.8292682926829268,0.8,0.8571428571428571,0.8421052631578947,0.8205128205128205,0.828078671210825,0.9261904761904762,0.6587130932098565,0.8285714285714285
6,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9319727891156463,0.7142857142857143,0.8571428571428571
7,0.9024390243902439,0.9523809523809523,0.85,0.8695652173913043,0.909090909090909,0.8997354108424372,0.9619047619047618,0.8081743918926565,0.9011904761904761
8,0.7804878048780488,0.75,0.8095238095238095,0.7894736842105263,0.7692307692307692,0.7791937224739797,0.888095238095238,0.5608607858852039,0.7797619047619048
9,0.8048780487804879,0.9,0.7142857142857143,0.75,0.8181818181818182,0.8017837257372732,0.9119047619047619,0.6232538633263821,0.8071428571428572
10,0.8292682926829268,0.8,0.8571428571428571,0.8421052631578947,0.8205128205128205,0.828078671210825,0.9333333333333333,0.6587130932098565,0.8285714285714285
11,0.9047619047619048,0.9523809523809523,0.8571428571428571,0.8695652173913043,0.909090909090909,0.9035079029052512,0.9841269841269842,0.8132202844993978,0.9047619047619047
12,0.8536585365853658,0.9047619047619048,0.8,0.8260869565217391,0.8636363636363636,0.8507699593953255,0.930952380952381,0.7098505044517102,0.8523809523809525
13,0.8048780487804879,0.7,0.9047619047619048,0.875,0.7777777777777777,0.7958224257542215,0.9023809523809524,0.6196965463223185,0.8023809523809524
14,0.8048780487804879,0.75,0.8571428571428571,0.8333333333333334,0.7894736842105262,0.8017837257372731,0.8928571428571428,0.6115266170107638,0.8035714285714286
15,0.8780487804878049,0.9,0.8571428571428571,0.8571428571428571,0.8780487804878048,0.8783100656536799,0.9452380952380952,0.7571428571428571,0.8785714285714286
16,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9705215419501134,0.7142857142857143,0.8571428571428571
17,0.7804878048780488,0.7619047619047619,0.8,0.8,0.7804878048780488,0.7807200583588266,0.8928571428571428,0.5619047619047619,0.780952380952381
