fold,Acc,Sens,Spec,Prec,F1,Gm,AUC,MCC,BA
1,0.8095238095238095,0.9523809523809523,0.6666666666666666,0.7407407407407407,0.8333333333333334,0.7968190728895957,0.9297052154195011,0.6459751934999393,0.8095238095238095
2,0.8292682926829268,0.9047619047619048,0.75,0.7916666666666666,0.8444444444444444,0.823754471047914,0.919047619047619,0.6643209783517638,0.8273809523809523
3,0.7560975609756098,0.8,0.7142857142857143,0.7272727272727273,0.761904761904762,0.7559289460184545,0.85,0.5155145946859746,0.7571428571428571
4,0.8536585365853658,0.85,0.8571428571428571,0.85,0.85,0.8535639569308374,0.8404761904761905,0.7071428571428572,0.8535714285714285
5,0.8292682926829268,0.8,0.8571428571428571,0.8421052631578947,0.8205128205128205,0.828078671210825,0.9571428571428572,0.6587130932098565,0.8285714285714285
6,0.9285714285714286,0.9523809523809523,0.9047619047619048,0.9090909090909091,0.9302325581395349,0.9282661280770441,0.9682539682539683,0.8581163303210331,0.9285714285714286
7,0.8536585365853658,0.9047619047619048,0.8,0.8260869565217391,0.8636363636363636,0.8507699593953255,0.9047619047619048,0.7098505044517102,0.8523809523809525
8,0.7804878048780488,0.75,0.8095238095238095,0.7894736842105263,0.7692307692307692,0.7791937224739797,0.8452380952380952,0.5608607858852039,0.7797619047619048
9,0.6829268292682927,0.7,0.6666666666666666,0.6666666666666666,0.6829268292682926,0.6831300510639732,0.8333333333333333,0.36666666666666664,0.6833333333333333
10,0.7804878048780488,0.8,0.7619047619047619,0.7619047619047619,0.7804878048780488,0.7807200583588266,0.9,0.5619047619047619,0.780952380952381
11,0.7857142857142857,0.7142857142857143,0.8571428571428571,0.8333333333333334,0.7692307692307692,0.7824607964359516,0.9274376417233561,0.5773502691896257,0.7857142857142857
12,0.7804878048780488,0.8095238095238095,0.75,0.7727272727272727,0.7906976744186046,0.7791937224739797,0.888095238095238,0.5608607858852039,0.7797619047619048
13,0.8048780487804879,0.85,0.7619047619047619,0.7727272727272727,0.8095238095238095,0.8047478161629564,0.9047619047619048,0.6133669020106273,0.805952380952381
14,0.8536585365853658,0.8,0.9047619047619048,0.8888888888888888,0.8421052631578948,0.8507699593953255,0.8976190476190476,0.7098505044517102,0.8523809523809525
15,0.9512195121951219,0.95,0.9523809523809523,0.95,0.9500000000000001,0.9511897312113418,0.9595238095238094,0.9023809523809524,0.9511904761904761
16,0.8333333333333334,0.8571428571428571,0.8095238095238095,0.8181818181818182,0.8372093023255814,0.8329931278350429,0.8934240362811792,0.6674238124719146,0.8333333333333333
17,0.7560975609756098,0.7619047619047619,0.75,0.7619047619047619,0.7619047619047619,0.7559289460184544,0.8452380952380952,0.5119047619047619,0.7559523809523809
18,0.8048780487804879,1.0,0.6190476190476191,0.7142857142857143,0.8333333333333333,0.7867957924694432,0.930952380952381,0.6649638116080449,0.8095238095238095
19,0.7560975609756098,0.75,0.7619047619047619,0.75,0.75,0.7559289460184544,0.8476190476190476,0.5119047619047619,0.7559523809523809
