fold,Acc,Sens,Spec,Prec,F1,Gm,AUC,MCC,BA
1,0.9047619047619048,0.9523809523809523,0.8571428571428571,0.8695652173913043,0.909090909090909,0.9035079029052512,0.945578231292517,0.8132202844993978,0.9047619047619047
2,0.926829268292683,0.8571428571428571,1.0,1.0,0.923076923076923,0.9258200997725514,0.9904761904761905,0.8633316946034313,0.9285714285714286
3,0.9512195121951219,0.95,0.9523809523809523,0.95,0.9500000000000001,0.9511897312113418,0.9857142857142857,0.9023809523809524,0.9511904761904761
4,0.8292682926829268,0.9,0.7619047619047619,0.782608695652174,0.8372093023255814,0.828078671210825,0.8809523809523809,0.6666839197215386,0.8309523809523809
5,0.975609756097561,0.95,1.0,1.0,0.9743589743589743,0.9746794344808963,0.988095238095238,0.9522700151838143,0.975
6,0.8809523809523809,0.8571428571428571,0.9047619047619048,0.9,0.8780487804878048,0.8806305718527109,0.9546485260770976,0.7627700713964739,0.8809523809523809
7,0.9512195121951219,1.0,0.9,0.9130434782608695,0.9545454545454545,0.9486832980505138,0.9880952380952381,0.9064982793336028,0.95
8,0.926829268292683,0.9,0.9523809523809523,0.9473684210526315,0.9230769230769231,0.9258200997725514,0.9547619047619047,0.8544177078591617,0.9261904761904762
9,0.8292682926829268,0.95,0.7142857142857143,0.76,0.8444444444444444,0.823754471047914,0.9333333333333333,0.6806903008816019,0.8321428571428571
10,0.926829268292683,0.9,0.9523809523809523,0.9473684210526315,0.9230769230769231,0.9258200997725514,0.9642857142857143,0.8544177078591617,0.9261904761904762
11,0.9285714285714286,0.9047619047619048,0.9523809523809523,0.95,0.9268292682926829,0.9282661280770441,0.9909297052154195,0.8581163303210331,0.9285714285714286
12,0.9512195121951219,1.0,0.9,0.9130434782608695,0.9545454545454545,0.9486832980505138,0.9857142857142858,0.9064982793336028,0.95
13,0.926829268292683,0.9,0.9523809523809523,0.9473684210526315,0.9230769230769231,0.9258200997725514,0.969047619047619,0.8544177078591617,0.9261904761904762
14,0.9024390243902439,0.85,0.9523809523809523,0.9444444444444444,0.8947368421052632,0.8997354108424372,0.9857142857142858,0.8081743918926565,0.9011904761904761
15,0.9024390243902439,1.0,0.8095238095238095,0.8333333333333334,0.9090909090909091,0.8997354108424374,0.9500000000000001,0.8213423005076353,0.9047619047619048
16,0.9523809523809523,1.0,0.9047619047619048,0.9130434782608695,0.9545454545454545,0.9511897312113419,0.9977324263038548,0.9088932591463857,0.9523809523809523
17,0.8536585365853658,0.8571428571428571,0.85,0.8571428571428571,0.8571428571428571,0.8535639569308374,0.919047619047619,0.7071428571428572,0.8535714285714285
18,0.9024390243902439,0.9,0.9047619047619048,0.9,0.9,0.9023778112773575,0.9595238095238094,0.8047619047619048,0.9023809523809524
19,0.9024390243902439,0.95,0.8571428571428571,0.8636363636363636,0.9047619047619048,0.9023778112773575,0.9619047619047619,0.8090715166599324,0.9035714285714285
20,0.9512195121951219,0.9,1.0,1.0,0.9473684210526316,0.9486832980505138,0.9976190476190475,0.9064982793336028,0.95
21,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9546485260770975,0.8095238095238095,0.9047619047619048
22,0.9512195121951219,0.9523809523809523,0.95,0.9523809523809523,0.9523809523809523,0.9511897312113418,0.9857142857142858,0.9023809523809524,0.9511904761904761
23,0.9024390243902439,0.9,0.9047619047619048,0.9,0.9,0.9023778112773575,0.9571428571428572,0.8047619047619048,0.9023809523809524
24,0.926829268292683,0.95,0.9047619047619048,0.9047619047619048,0.9268292682926829,0.9271050693011065,0.9357142857142857,0.8547619047619047,0.9273809523809524
25,0.9024390243902439,0.85,0.9523809523809523,0.9444444444444444,0.8947368421052632,0.8997354108424372,0.9547619047619047,0.8081743918926565,0.9011904761904761
26,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9795918367346939,0.8095238095238095,0.9047619047619048
27,0.8780487804878049,0.8571428571428571,0.9,0.9,0.8780487804878048,0.8783100656536799,0.9095238095238096,0.7571428571428571,0.8785714285714286
28,0.9512195121951219,0.95,0.9523809523809523,0.95,0.9500000000000001,0.9511897312113418,0.9952380952380951,0.9023809523809524,0.9511904761904761
29,0.9024390243902439,0.95,0.8571428571428571,0.8636363636363636,0.9047619047619048,0.9023778112773575,0.9666666666666667,0.8090715166599324,0.9035714285714285
30,0.975609756097561,0.95,1.0,1.0,0.9743589743589743,0.9746794344808963,0.9928571428571429,0.9522700151838143,0.975
31,0.9047619047619048,0.9523809523809523,0.8571428571428571,0.8695652173913043,0.909090909090909,0.9035079029052512,0.9841269841269842,0.8132202844993978,0.9047619047619047
32,0.926829268292683,0.9523809523809523,0.9,0.9090909090909091,0.9302325581395349,0.9258200997725514,0.930952380952381,0.8544177078591617,0.9261904761904762
33,0.9024390243902439,0.9,0.9047619047619048,0.9,0.9,0.9023778112773575,0.9476190476190476,0.8047619047619048,0.9023809523809524
34,0.9512195121951219,0.95,0.9523809523809523,0.95,0.9500000000000001,0.9511897312113418,0.9976190476190475,0.9023809523809524,0.9511904761904761
35,0.8780487804878049,0.8,0.9523809523809523,0.9411764705882353,0.8648648648648648,0.8728715609439694,0.9238095238095239,0.7633651969423905,0.8761904761904762
36,0.8571428571428571,0.8095238095238095,0.9047619047619048,0.8947368421052632,0.8500000000000001,0.8558190836005443,0.963718820861678,0.7175473098524098,0.8571428571428572
37,0.8536585365853658,0.8095238095238095,0.9,0.8947368421052632,0.8500000000000001,0.8535639569308375,0.9523809523809523,0.7112192093352798,0.8547619047619048
38,0.926829268292683,0.95,0.9047619047619048,0.9047619047619048,0.9268292682926829,0.9271050693011065,0.9428571428571428,0.8547619047619047,0.9273809523809524
39,0.9024390243902439,0.95,0.8571428571428571,0.8636363636363636,0.9047619047619048,0.9023778112773575,0.9500000000000001,0.8090715166599324,0.9035714285714285
40,0.926829268292683,0.9,0.9523809523809523,0.9473684210526315,0.9230769230769231,0.9258200997725514,0.9928571428571429,0.8544177078591617,0.9261904761904762
41,0.9047619047619048,0.9523809523809523,0.8571428571428571,0.8695652173913043,0.909090909090909,0.9035079029052512,0.9297052154195011,0.8132202844993978,0.9047619047619047
42,0.9512195121951219,0.9047619047619048,1.0,1.0,0.9500000000000001,0.9511897312113419,0.9857142857142857,0.906923823984585,0.9523809523809523
43,0.8780487804878049,0.9,0.8571428571428571,0.8571428571428571,0.8780487804878048,0.8783100656536799,0.9547619047619047,0.7571428571428571,0.8785714285714286
44,0.9024390243902439,0.85,0.9523809523809523,0.9444444444444444,0.8947368421052632,0.8997354108424372,0.9666666666666667,0.8081743918926565,0.9011904761904761
45,0.9512195121951219,0.95,0.9523809523809523,0.95,0.9500000000000001,0.9511897312113418,0.9428571428571428,0.9023809523809524,0.9511904761904761
46,0.9047619047619048,0.8571428571428571,0.9523809523809523,0.9473684210526315,0.9,0.9035079029052512,0.9569160997732427,0.8132202844993978,0.9047619047619047
47,0.9024390243902439,0.9047619047619048,0.9,0.9047619047619048,0.9047619047619048,0.9023778112773575,0.969047619047619,0.8047619047619048,0.9023809523809524
48,0.9024390243902439,0.9,0.9047619047619048,0.9,0.9,0.9023778112773575,0.9404761904761905,0.8047619047619048,0.9023809523809524
49,0.975609756097561,0.95,1.0,1.0,0.9743589743589743,0.9746794344808963,0.9976190476190475,0.9522700151838143,0.975
50,0.9024390243902439,0.95,0.8571428571428571,0.8636363636363636,0.9047619047619048,0.9023778112773575,0.9761904761904762,0.8090715166599324,0.9035714285714285
