fold,Acc,Sens,Spec,Prec,F1,Gm,AUC,MCC,BA
1,0.9047619047619048,0.9523809523809523,0.8571428571428571,0.8695652173913043,0.909090909090909,0.9035079029052512,0.9342403628117913,0.8132202844993978,0.9047619047619047
2,0.9512195121951219,0.9047619047619048,1.0,1.0,0.9500000000000001,0.9511897312113419,0.9714285714285714,0.906923823984585,0.9523809523809523
3,0.926829268292683,0.9,0.9523809523809523,0.9473684210526315,0.9230769230769231,0.9258200997725514,0.9785714285714284,0.8544177078591617,0.9261904761904762
4,0.8536585365853658,0.9,0.8095238095238095,0.8181818181818182,0.8571428571428572,0.8535639569308375,0.9119047619047618,0.7112192093352798,0.8547619047619048
5,0.975609756097561,0.95,1.0,1.0,0.9743589743589743,0.9746794344808963,0.9738095238095238,0.9522700151838143,0.975
6,0.9047619047619048,0.8571428571428571,0.9523809523809523,0.9473684210526315,0.9,0.9035079029052512,0.963718820861678,0.8132202844993978,0.9047619047619047
7,0.926829268292683,0.9523809523809523,0.9,0.9090909090909091,0.9302325581395349,0.9258200997725514,0.9904761904761905,0.8544177078591617,0.9261904761904762
8,0.926829268292683,0.9,0.9523809523809523,0.9473684210526315,0.9230769230769231,0.9258200997725514,0.9785714285714286,0.8544177078591617,0.9261904761904762
9,0.8780487804878049,0.95,0.8095238095238095,0.8260869565217391,0.8837209302325583,0.8769536014223438,0.9404761904761905,0.765007807162485,0.8797619047619047
10,0.9024390243902439,0.85,0.9523809523809523,0.9444444444444444,0.8947368421052632,0.8997354108424372,0.9452380952380952,0.8081743918926565,0.9011904761904761
11,0.9047619047619048,0.8571428571428571,0.9523809523809523,0.9473684210526315,0.9,0.9035079029052512,0.9886621315192744,0.8132202844993978,0.9047619047619047
12,0.9512195121951219,1.0,0.9,0.9130434782608695,0.9545454545454545,0.9486832980505138,0.9809523809523809,0.9064982793336028,0.95
13,0.9024390243902439,0.85,0.9523809523809523,0.9444444444444444,0.8947368421052632,0.8997354108424372,0.9619047619047618,0.8081743918926565,0.9011904761904761
14,0.8780487804878049,0.8,0.9523809523809523,0.9411764705882353,0.8648648648648648,0.8728715609439694,0.9857142857142858,0.7633651969423905,0.8761904761904762
15,0.9512195121951219,1.0,0.9047619047619048,0.9090909090909091,0.9523809523809523,0.9511897312113419,0.9595238095238094,0.906923823984585,0.9523809523809523
