fold,Acc,Sens,Spec,Prec,F1,Gm,AUC,MCC,BA
1,0.7906976744186046,0.9047619047619048,0.6818181818181818,0.7307692307692307,0.8085106382978723,0.7854190708679774,0.803030303030303,0.5997043077251323,0.7932900432900433
2,0.7441860465116279,0.6190476190476191,0.8636363636363636,0.8125,0.7027027027027026,0.7311853627036271,0.738095238095238,0.49916255827127726,0.7413419913419914
3,0.6046511627906976,0.6,0.6086956521739131,0.5714285714285714,0.5853658536585366,0.6043321862224019,0.75,0.2082434400451838,0.6043478260869566
4,0.6511627906976745,0.6,0.6956521739130435,0.631578947368421,0.6153846153846154,0.6460582824697986,0.782608695652174,0.2969460626940593,0.6478260869565218
5,0.6666666666666666,0.65,0.6818181818181818,0.65,0.65,0.6657190234489458,0.7068181818181818,0.33181818181818185,0.6659090909090909
6,0.7674418604651163,0.7142857142857143,0.8181818181818182,0.7894736842105263,0.7500000000000001,0.7644707871564383,0.8073593073593073,0.5359591602564021,0.7662337662337663
7,0.7674418604651163,0.7619047619047619,0.7727272727272727,0.7619047619047619,0.7619047619047619,0.7672969364884684,0.8441558441558441,0.5346320346320347,0.7673160173160173
8,0.6744186046511628,0.65,0.6956521739130435,0.65,0.65,0.6724387801454332,0.8152173913043479,0.3456521739130435,0.6728260869565217
9,0.5813953488372093,0.65,0.5217391304347826,0.5416666666666666,0.5909090909090908,0.5823490660957642,0.6434782608695653,0.17249072759434328,0.5858695652173913
10,0.5,0.35,0.6363636363636364,0.4666666666666667,0.4,0.47193990372426947,0.509090909090909,-0.014213381090374028,0.49318181818181817
11,0.7209302325581395,0.7142857142857143,0.7272727272727273,0.7142857142857143,0.7142857142857143,0.7207499701564473,0.7272727272727273,0.44155844155844154,0.7207792207792207
12,0.7906976744186046,0.8095238095238095,0.7727272727272727,0.7727272727272727,0.7906976744186046,0.7909115788387002,0.8831168831168831,0.5822510822510822,0.7911255411255411
13,0.813953488372093,0.8,0.8260869565217391,0.8,0.8000000000000002,0.8129388446970605,0.8347826086956522,0.6260869565217392,0.8130434782608695
14,0.6511627906976745,0.6,0.6956521739130435,0.631578947368421,0.6153846153846154,0.6460582824697986,0.7304347826086957,0.2969460626940593,0.6478260869565218
15,0.7142857142857143,0.7,0.7272727272727273,0.7,0.7,0.7135060680126757,0.7863636363636364,0.42727272727272725,0.7136363636363636
16,0.7209302325581395,0.5238095238095238,0.9090909090909091,0.8461538461538461,0.6470588235294118,0.6900655593423543,0.7467532467532467,0.4711689951601463,0.7164502164502164
17,0.6511627906976745,0.5238095238095238,0.7727272727272727,0.6875,0.5945945945945946,0.6362090102803518,0.7077922077922078,0.3066604057541031,0.6482683982683983
18,0.6511627906976745,0.7,0.6086956521739131,0.6086956521739131,0.6511627906976744,0.6527533657682196,0.7782608695652173,0.30869565217391304,0.6543478260869565
19,0.7209302325581395,0.75,0.6956521739130435,0.6818181818181818,0.7142857142857143,0.7223151185146152,0.7956521739130434,0.4446865125964863,0.7228260869565217
20,0.6904761904761905,0.65,0.7272727272727273,0.6842105263157895,0.6666666666666667,0.6875516509523286,0.7386363636363636,0.378565498830142,0.6886363636363637
