fold,Acc,Sens,Spec,Prec,F1,Gm,AUC,MCC,BA
1,0.7441860465116279,0.7619047619047619,0.7272727272727273,0.7272727272727273,0.7441860465116279,0.7443873683187767,0.8246753246753247,0.48917748917748916,0.7445887445887446
2,0.7209302325581395,0.5238095238095238,0.9090909090909091,0.8461538461538461,0.6470588235294118,0.6900655593423543,0.764069264069264,0.4711689951601463,0.7164502164502164
3,0.813953488372093,0.85,0.782608695652174,0.7727272727272727,0.8095238095238095,0.8156086017841817,0.8282608695652174,0.6312379276369634,0.816304347826087
4,0.7674418604651163,0.55,0.9565217391304348,0.9166666666666666,0.6874999999999999,0.7253185207353657,0.7978260869565218,0.5632556220275795,0.7532608695652174
5,0.6666666666666666,0.6,0.7272727272727273,0.6666666666666666,0.631578947368421,0.6605782590758164,0.7863636363636364,0.3302891295379082,0.6636363636363636
6,0.7209302325581395,0.6666666666666666,0.7727272727272727,0.7368421052631579,0.7,0.7177405625652734,0.8051948051948051,0.4422752420002018,0.7196969696969697
7,0.813953488372093,0.8571428571428571,0.7727272727272727,0.782608695652174,0.8181818181818182,0.8138413004619895,0.8874458874458874,0.6312379276369634,0.8149350649350648
8,0.7209302325581395,0.65,0.782608695652174,0.7222222222222222,0.6842105263157895,0.7132290320604687,0.7673913043478261,0.4373890473525387,0.716304347826087
9,0.6744186046511628,0.7,0.6521739130434783,0.6363636363636364,0.6666666666666666,0.6756639246921762,0.7021739130434783,0.35141080507624767,0.6760869565217391
10,0.6904761904761905,0.75,0.6363636363636364,0.6521739130434783,0.6976744186046512,0.6908492797077574,0.7204545454545455,0.3876875590429165,0.6931818181818181
11,0.7674418604651163,0.7619047619047619,0.7727272727272727,0.7619047619047619,0.7619047619047619,0.7672969364884684,0.8484848484848484,0.5346320346320347,0.7673160173160173
12,0.7906976744186046,0.8095238095238095,0.7727272727272727,0.7727272727272727,0.7906976744186046,0.7909115788387002,0.8571428571428571,0.5822510822510822,0.7911255411255411
13,0.8604651162790697,0.8,0.9130434782608695,0.8888888888888888,0.8421052631578948,0.8546547739343037,0.8478260869565217,0.7209226509127271,0.8565217391304347
14,0.7209302325581395,0.7,0.7391304347826086,0.7,0.7,0.7192991758286853,0.7782608695652173,0.4391304347826087,0.7195652173913043
15,0.8095238095238095,0.75,0.8636363636363636,0.8333333333333334,0.7894736842105262,0.8048150549829897,0.884090909090909,0.6192921178835779,0.8068181818181819
16,0.813953488372093,0.7619047619047619,0.8636363636363636,0.8421052631578947,0.8,0.8111773283374345,0.8679653679653679,0.6296430785126026,0.8127705627705628
17,0.6976744186046512,0.5714285714285714,0.8181818181818182,0.75,0.6486486486486486,0.6837634587578277,0.764069264069264,0.40291148201269017,0.6948051948051948
18,0.813953488372093,0.7,0.9130434782608695,0.875,0.7777777777777777,0.799456337008225,0.8652173913043478,0.6325987349183445,0.8065217391304347
19,0.7441860465116279,0.8,0.6956521739130435,0.6956521739130435,0.7441860465116279,0.746003846592251,0.8021739130434783,0.4956521739130435,0.7478260869565218
20,0.6904761904761905,0.7,0.6818181818181818,0.6666666666666666,0.6829268292682926,0.6908492797077573,0.7977272727272727,0.38138503569823695,0.6909090909090909
21,0.7906976744186046,0.8095238095238095,0.7727272727272727,0.7727272727272727,0.7906976744186046,0.7909115788387002,0.8398268398268398,0.5822510822510822,0.7911255411255411
22,0.6744186046511628,0.5714285714285714,0.7727272727272727,0.7058823529411765,0.6315789473684211,0.6644986392449886,0.7597402597402597,0.35185603294574186,0.672077922077922
23,0.6511627906976745,0.6,0.6956521739130435,0.631578947368421,0.6153846153846154,0.6460582824697986,0.7760869565217391,0.2969460626940593,0.6478260869565218
