fold,Acc,Sens,Spec,Prec,F1,Gm,AUC,MCC,BA
1,0.7272727272727273,0.7391304347826086,0.7142857142857143,0.7391304347826086,0.7391304347826085,0.7266018927576546,0.7349896480331263,0.453416149068323,0.7267080745341614
2,0.6046511627906976,0.5909090909090909,0.6190476190476191,0.6190476190476191,0.6046511627906977,0.6048147367590061,0.7034632034632035,0.20995670995670995,0.604978354978355
3,0.5813953488372093,0.5454545454545454,0.6190476190476191,0.6,0.5714285714285713,0.5810872031479765,0.7077922077922078,0.16485939003577052,0.5822510822510822
4,0.5581395348837209,0.6363636363636364,0.47619047619047616,0.56,0.5957446808510639,0.5504818825631803,0.6645021645021645,0.1140449604596933,0.5562770562770563
5,0.6744186046511628,0.7391304347826086,0.6,0.68,0.7083333333333334,0.6659416347320275,0.6369565217391305,0.34287784616580924,0.6695652173913043
6,0.6363636363636364,0.5652173913043478,0.7142857142857143,0.6842105263157895,0.6190476190476191,0.6353949229215907,0.7556935817805384,0.2818469881809086,0.639751552795031
7,0.6744186046511628,0.7727272727272727,0.5714285714285714,0.6538461538461539,0.7083333333333333,0.6644986392449886,0.7792207792207793,0.35185603294574186,0.672077922077922
8,0.5581395348837209,0.5909090909090909,0.5238095238095238,0.5652173913043478,0.5777777777777778,0.5563486402641868,0.7056277056277056,0.11496773252494523,0.5573593073593074
9,0.6046511627906976,0.5909090909090909,0.6190476190476191,0.6190476190476191,0.6046511627906977,0.6048147367590061,0.6363636363636364,0.20995670995670995,0.604978354978355
10,0.6976744186046512,0.7391304347826086,0.65,0.7083333333333334,0.723404255319149,0.6931340293252782,0.7391304347826086,0.3908334207517398,0.6945652173913044
11,0.5909090909090909,0.4782608695652174,0.7142857142857143,0.6470588235294118,0.55,0.5844783202414767,0.6211180124223602,0.19751634497399984,0.5962732919254659
12,0.6976744186046512,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.711111111111111,0.6963106238227914,0.7705627705627707,0.394794855085661,0.696969696969697
13,0.627906976744186,0.5454545454545454,0.7142857142857143,0.6666666666666666,0.6,0.6241877839323592,0.6406926406926408,0.2631806779839076,0.6298701298701299
14,0.6046511627906976,0.7727272727272727,0.42857142857142855,0.5862068965517241,0.6666666666666667,0.5754727023663513,0.7164502164502164,0.2147330753452748,0.6006493506493507
