fold,Acc,Sens,Spec,Prec,F1,Gm,AUC,MCC,BA
1,0.8636363636363636,0.9130434782608695,0.8095238095238095,0.84,0.8749999999999999,0.8597269536210951,0.8674948240165631,0.7286266583343489,0.8612836438923395
2,0.6976744186046512,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.711111111111111,0.6963106238227914,0.7900432900432901,0.394794855085661,0.696969696969697
3,0.7674418604651163,0.8636363636363636,0.6666666666666666,0.7307692307692307,0.7916666666666666,0.7587869106393281,0.7640692640692641,0.5421681010799166,0.7651515151515151
4,0.8372093023255814,0.9090909090909091,0.7619047619047619,0.8,0.8510638297872342,0.832250378576479,0.8463203463203464,0.6798834181250947,0.8354978354978355
5,0.6744186046511628,0.5652173913043478,0.8,0.7647058823529411,0.65,0.6724387801454332,0.7804347826086957,0.3725797364904344,0.682608695652174
6,0.8863636363636364,0.8260869565217391,0.9523809523809523,0.95,0.8837209302325583,0.8869889979033879,0.9710144927536233,0.7808968318374553,0.8892339544513457
7,0.7441860465116279,0.8636363636363636,0.6190476190476191,0.7037037037037037,0.7755102040816326,0.7311853627036271,0.8203463203463204,0.49916255827127726,0.7413419913419914
8,0.7906976744186046,0.9090909090909091,0.6666666666666666,0.7407407407407407,0.8163265306122449,0.7784989441615229,0.8939393939393939,0.5954136345298644,0.7878787878787878
9,0.6744186046511628,0.7727272727272727,0.5714285714285714,0.6538461538461539,0.7083333333333333,0.6644986392449886,0.7489177489177489,0.35185603294574186,0.672077922077922
10,0.7441860465116279,0.6956521739130435,0.8,0.8,0.7441860465116279,0.746003846592251,0.8369565217391305,0.4956521739130435,0.7478260869565218
11,0.7954545454545454,0.8260869565217391,0.7619047619047619,0.7916666666666666,0.8085106382978724,0.7933470778425575,0.8178053830227743,0.5898263304304183,0.7939958592132506
12,0.627906976744186,0.5454545454545454,0.7142857142857143,0.6666666666666666,0.6,0.6241877839323592,0.8246753246753247,0.2631806779839076,0.6298701298701299
13,0.7209302325581395,0.7272727272727273,0.7142857142857143,0.7272727272727273,0.7272727272727273,0.7207499701564473,0.8095238095238095,0.44155844155844154,0.7207792207792207
14,0.8372093023255814,0.9090909090909091,0.7619047619047619,0.8,0.8510638297872342,0.832250378576479,0.8701298701298701,0.6798834181250947,0.8354978354978355
15,0.8837209302325582,0.8260869565217391,0.95,0.95,0.8837209302325583,0.8858795678282981,0.9347826086956521,0.7760869565217391,0.8880434782608695
16,0.8863636363636364,0.8695652173913043,0.9047619047619048,0.9090909090909091,0.888888888888889,0.8869889979033879,0.8944099378881987,0.7735267838285931,0.8871635610766045
17,0.7906976744186046,0.7727272727272727,0.8095238095238095,0.8095238095238095,0.7906976744186046,0.7909115788387002,0.8593073593073594,0.5822510822510822,0.7911255411255411
18,0.7906976744186046,0.8181818181818182,0.7619047619047619,0.782608695652174,0.8,0.7895420339517227,0.8506493506493507,0.5813462701261382,0.7900432900432901
19,0.8372093023255814,0.8636363636363636,0.8095238095238095,0.8260869565217391,0.8444444444444444,0.8361424514603951,0.803030303030303,0.6746219776463768,0.8365800865800865
20,0.6976744186046512,0.6521739130434783,0.75,0.75,0.6976744186046512,0.6993786061802353,0.782608695652174,0.40217391304347827,0.7010869565217391
21,0.8409090909090909,0.782608695652174,0.9047619047619048,0.9,0.8372093023255814,0.8414716478655063,0.855072463768116,0.6895152876862637,0.8436853002070394
22,0.8604651162790697,0.8181818181818182,0.9047619047619048,0.9,0.8571428571428572,0.8603834844182798,0.906926406926407,0.724513635157202,0.8614718614718615
23,0.7674418604651163,0.6363636363636364,0.9047619047619048,0.875,0.7368421052631579,0.7587869106393281,0.8809523809523809,0.5595992805731808,0.7705627705627706
24,0.7674418604651163,0.8636363636363636,0.6666666666666666,0.7307692307692307,0.7916666666666666,0.7587869106393281,0.8571428571428571,0.5421681010799166,0.7651515151515151
25,0.7441860465116279,0.8695652173913043,0.6,0.7142857142857143,0.7843137254901961,0.7223151185146152,0.7913043478260869,0.4914170156087533,0.7347826086956522
26,0.8636363636363636,0.9130434782608695,0.8095238095238095,0.84,0.8749999999999999,0.8597269536210951,0.9130434782608695,0.7286266583343489,0.8612836438923395
