Feature,Modality,Mean_Abs_SHAP
Right-Hippocampus,MRI,0.139636
Left-Hippocampus,MRI,0.132995
Left-Amygdala,MRI,0.11637
lh_paracentral_thickness,MRI,0.114889
LCOR.1,Gene,0.112023
GNL2,Gene,0.110029
NACA,Gene,0.107578
LSM5,Gene,0.094264
SDF4.1,Gene,0.089773
4th-Ventricle,MRI,0.088364
CETN2,Gene,0.08515
MaskVol-to-eTIV,MRI,0.084381
rh_insula_thickness,MRI,0.083906
lh_entorhinal_thickness,MRI,0.079131
THYN1,Gene,0.077856
ING3,Gene,0.074905
CSF,MRI,0.074821
UBC,Gene,0.074431
MRPL33.1,Gene,0.073579
rh_rostralmiddlefrontal_thickness,MRI,0.071812
lh_fusiform_thickness,MRI,0.071744
non-WM-hypointensities,MRI,0.071632
SNTB2,Gene,0.070886
APOE,MRI,0.070281
rh_superiorfrontal_thickness,MRI,0.068529
MED6,Gene,0.067713
rh_parstriangularis_thickness,MRI,0.067408
NSA2,Gene,0.067187
Right-Accumbens-area,MRI,0.066326
CWC15,Gene,0.066058
FTH1P7,Gene,0.066049
SOD1,Gene,0.064989
lh_parsorbitalis_thickness,MRI,0.064589
lh_bankssts_thickness,MRI,0.061012
RPS27A.1,Gene,0.060819
RPL12.1,Gene,0.060613
PHACTR2,Gene,0.060466
Left-Caudate,MRI,0.06042
lh_parstriangularis_thickness,MRI,0.06023
TCEAL4,Gene,0.059829
Left-Accumbens-area,MRI,0.059616
lh_lingual_thickness,MRI,0.059526
Age,MRI,0.056845
ESD,Gene,0.056654
Left-Cerebellum-Cortex,MRI,0.055244
3rd-Ventricle,MRI,0.054776
CNOT4,Gene,0.054314
Left-Cerebellum-White-Matter,MRI,0.054251
RPA3,Gene,0.053989
rh_frontalpole_thickness,MRI,0.053818
Right-Caudate,MRI,0.053688
lh_postcentral_thickness,MRI,0.053477
lhCortexVol,MRI,0.053254
TBCA,Gene,0.052938
lh_transversetemporal_thickness,MRI,0.052171
BOLA3,Gene,0.051356
CMTM2,Gene,0.049506
lh_superiortemporal_thickness,MRI,0.048349
rh_paracentral_thickness,MRI,0.048124
CortexVol,MRI,0.047851
SSBP1,Gene,0.04703
lh_superiorparietal_thickness,MRI,0.046464
rh_supramarginal_thickness,MRI,0.045917
RPS20,Gene,0.045914
EIF3E,Gene,0.045539
rh_parahippocampal_thickness,MRI,0.045272
ATP5MG,Gene,0.044191
AHSA1,Gene,0.043693
NSA2.1,Gene,0.043633
PTPRE.1,Gene,0.043442
UBC.1,Gene,0.043173
lh_lateralorbitofrontal_thickness,MRI,0.043
RPL36AL.1,Gene,0.042929
Left-Pallidum,MRI,0.042575
lh_superiorfrontal_thickness,MRI,0.042407
Right-Putamen,MRI,0.041986
rh_entorhinal_thickness,MRI,0.041877
lh_cuneus_thickness,MRI,0.040908
rhCortexVol,MRI,0.040803
RSL1D1,Gene,0.040713
ATP6V1E1.1,Gene,0.040708
MRPL21.1,Gene,0.040636
RARS1,Gene,0.040549
CC_Mid_Anterior,MRI,0.039967
SARNP,Gene,0.039909
MRPS18C,Gene,0.039804
Left-Inf-Lat-Vent,MRI,0.039555
rh_rostralanteriorcingulate_thickness,MRI,0.039357
rh_temporalpole_thickness,MRI,0.039063
lh_caudalanteriorcingulate_thickness,MRI,0.038454
SubCortGrayVol,MRI,0.03837
Left-VentralDC,MRI,0.03763
MRPL33,Gene,0.037563
ATP5F1EP2.1,Gene,0.03738
rh_caudalmiddlefrontal_thickness,MRI,0.037311
TotalGrayVol,MRI,0.037278
METAP2,Gene,0.036963
LBHD1,Gene,0.036871
rh_inferiortemporal_thickness,MRI,0.03679
lh_precuneus_thickness,MRI,0.03671
rhCorticalWhiteMatterVol,MRI,0.036361
RPL21,Gene,0.035845
lh_frontalpole_thickness,MRI,0.035807
rh_parsorbitalis_thickness,MRI,0.035793
SLIRP,Gene,0.035466
MRPL36,Gene,0.034311
ATP5MF.1,Gene,0.034242
UQCRH,Gene,0.033736
rh_superiorparietal_thickness,MRI,0.033191
GIMAP7,Gene,0.033189
NACA.1,Gene,0.032668
GTF2A2,Gene,0.03211
RPL17.1,Gene,0.032073
CC_Mid_Posterior,MRI,0.031518
COX6A1,Gene,0.03145
DNAJC7,Gene,0.031096
NME1,Gene,0.030926
NDUFA1,Gene,0.03082
rh_cuneus_thickness,MRI,0.030795
Left-Putamen,MRI,0.030733
Left-vessel,MRI,0.030687
KLF6.1,Gene,0.030632
lh_insula_thickness,MRI,0.030614
PBDC1,Gene,0.030479
Left-Thalamus-Proper,MRI,0.030319
rh_precentral_thickness,MRI,0.029786
rh_medialorbitofrontal_thickness,MRI,0.029631
lh_caudalmiddlefrontal_thickness,MRI,0.02956
TIMM23,Gene,0.029238
NDUFS5,Gene,0.029051
ATP5ME,Gene,0.028879
