Feature,Modality,Mean_Abs_SHAP
rh_transversetemporal_thickness,MRI,0.13182
rh_parstriangularis_thickness,MRI,0.128766
rh_parahippocampal_thickness,MRI,0.113983
CSF,MRI,0.108465
FASTK,Gene,0.104332
rh_parsorbitalis_thickness,MRI,0.102636
NBPF10,Gene,0.102474
SNHG29,Gene,0.102039
HARS2,Gene,0.100355
ATP5PB,Gene,0.098607
Right-choroid-plexus,MRI,0.097843
Left-Hippocampus,MRI,0.096794
RNF144B,Gene,0.096255
Optic-Chiasm,MRI,0.093325
ARHGAP45,Gene,0.09312
lh_lateraloccipital_thickness,MRI,0.092797
Right-Accumbens-area,MRI,0.090899
rh_lingual_thickness,MRI,0.090644
HSP90AA1.1,Gene,0.088726
Right-Cerebellum-Cortex,MRI,0.088533
RASSF1,Gene,0.086127
lh_paracentral_thickness,MRI,0.085215
4th-Ventricle,MRI,0.084905
PISD,Gene,0.083107
rh_superiorfrontal_thickness,MRI,0.080633
C15orf39,Gene,0.079523
AIM2,Gene,0.079221
DNAJB14,Gene,0.079034
BCLAF1,Gene,0.07838
ZNF622,Gene,0.07837
YWHAG,Gene,0.078251
MSRA,Gene,0.077857
lh_parahippocampal_thickness,MRI,0.075961
rh_cuneus_thickness,MRI,0.075718
lh_superiortemporal_thickness,MRI,0.074846
PSMA3,Gene,0.074349
NABP1,Gene,0.073478
Right-Caudate,MRI,0.072331
ANXA11,Gene,0.071313
NSA2.1,Gene,0.071254
rh_caudalanteriorcingulate_thickness,MRI,0.070814
NUFIP2,Gene,0.070057
IL1RN,Gene,0.069736
MCOLN2,Gene,0.06738
EXOSC3.1,Gene,0.066881
BLOC1S4,Gene,0.066645
lh_precuneus_thickness,MRI,0.066622
VAMP8,Gene,0.066457
Left-vessel,MRI,0.066235
ATP6V0D1,Gene,0.066182
Left-Amygdala,MRI,0.066069
lh_temporalpole_thickness,MRI,0.065963
GPR162,Gene,0.065929
lh_caudalanteriorcingulate_thickness,MRI,0.064786
lh_pericalcarine_thickness,MRI,0.06412
YIPF4,Gene,0.064089
Left-Cerebellum-Cortex,MRI,0.063366
ARHGAP30.2,Gene,0.063188
FBXO38,Gene,0.062505
NPEPPS,Gene,0.061989
CLEC16A,Gene,0.061878
CD36,Gene,0.061444
EGLN2,Gene,0.061435
FAAP20,Gene,0.060774
WM-hypointensities,MRI,0.060417
lh_fusiform_thickness,MRI,0.059422
MAT2B,Gene,0.058808
Right-Pallidum,MRI,0.058546
RPS4X,Gene,0.05854
KLF2,Gene,0.05851
PRKAR1A,Gene,0.058212
CYP4F3,Gene,0.058184
GLYR1,Gene,0.058125
DMC1,Gene,0.057942
ARFGEF1,Gene,0.057733
rh_isthmuscingulate_thickness,MRI,0.057351
rh_caudalmiddlefrontal_thickness,MRI,0.056369
LINC00324,Gene,0.056313
lh_superiorparietal_thickness,MRI,0.056016
PLXNC1,Gene,0.055474
GNL3L,Gene,0.05525
TUG1,Gene,0.055191
lh_posteriorcingulate_thickness,MRI,0.055135
MIB2,Gene,0.054793
RPL12.1,Gene,0.054517
PTP4A2,Gene,0.054042
lh_cuneus_thickness,MRI,0.053018
ALDH3B1,Gene,0.052555
CHMP2A,Gene,0.052552
SSB,Gene,0.051948
SLC43A2,Gene,0.051912
Age,MRI,0.051427
CC_Mid_Anterior,MRI,0.051289
lh_supramarginal_thickness,MRI,0.050972
CC_Mid_Posterior,MRI,0.050248
Right-Cerebellum-White-Matter,MRI,0.049595
EVI2A,Gene,0.049414
Left-Putamen,MRI,0.049354
RAB21,Gene,0.049316
lh_parsorbitalis_thickness,MRI,0.049095
MED20,Gene,0.049007
ADRB2,Gene,0.048873
Right-vessel,MRI,0.048698
DHRS7,Gene,0.047696
rh_fusiform_thickness,MRI,0.04756
SLC15A4,Gene,0.047347
HDGF,Gene,0.04717
RIPK2,Gene,0.046914
LRCH4,Gene,0.046695
LYZ,Gene,0.046561
RPS11,Gene,0.046227
ITPR3,Gene,0.045823
PTPN1,Gene,0.045005
IL1B,Gene,0.044805
IRF7,Gene,0.044796
CTNS,Gene,0.044708
BASP1,Gene,0.044683
RNASET2,Gene,0.04455
ARID4B,Gene,0.044485
rh_bankssts_thickness,MRI,0.044313
DNM2,Gene,0.044296
IRF1,Gene,0.043615
lh_insula_thickness,MRI,0.043367
RAB24,Gene,0.043277
Left-Lateral-Ventricle,MRI,0.043232
DESI1,Gene,0.042771
rhSurfaceHoles,MRI,0.04252
RAB24.1,Gene,0.042503
ACSL5,Gene,0.042402
rh_posteriorcingulate_thickness,MRI,0.042254
IL6ST,Gene,0.041815
rh_parsopercularis_thickness,MRI,0.041708
UVSSA,Gene,0.041093
rh_inferiortemporal_thickness,MRI,0.041041
lh_lateralorbitofrontal_thickness,MRI,0.040953
RSRP1,Gene,0.040074
ZNF69,Gene,0.039685
APOE,MRI,0.039549
XRCC2,Gene,0.039289
rh_frontalpole_thickness,MRI,0.038955
BrainSegVol-to-eTIV,MRI,0.038918
Left-Inf-Lat-Vent,MRI,0.038832
NDUFA10,Gene,0.03876
DNAJC8,Gene,0.03875
GJC1,Gene,0.038561
ADAM19,Gene,0.038423
GBP5,Gene,0.038319
ACTRT1,Gene,0.038174
PDCD5,Gene,0.038117
SARNP,Gene,0.037701
lh_inferiorparietal_thickness,MRI,0.037636
CNPY3,Gene,0.037429
rh_middletemporal_thickness,MRI,0.037416
rh_superiorparietal_thickness,MRI,0.037365
lh_superiorfrontal_thickness,MRI,0.037265
ANXA2R,Gene,0.037238
DUSP11,Gene,0.03722
lh_caudalmiddlefrontal_thickness,MRI,0.037072
STRIP2,Gene,0.036816
YJU2B,Gene,0.036726
Right-Lateral-Ventricle,MRI,0.036506
SurfaceHoles,MRI,0.036353
Right-Putamen,MRI,0.036051
PNPLA6,Gene,0.035944
rh_pericalcarine_thickness,MRI,0.035912
FRG1BP,Gene,0.035706
ALDOA.1,Gene,0.035474
HOPX,Gene,0.035418
MaskVol-to-eTIV,MRI,0.035274
ZSWIM8,Gene,0.035128
MRPL53,Gene,0.034967
ADORA2A,Gene,0.034671
NDUFA7,Gene,0.034347
FOXO4,Gene,0.034302
IL32.1,Gene,0.034163
NFKBIZ,Gene,0.03416
ERAL1,Gene,0.03415
Left-Pallidum,MRI,0.034097
Left-VentralDC,MRI,0.034049
PSME4,Gene,0.034041
CYFIP2.1,Gene,0.034033
NCAPD2,Gene,0.03388
RNF114,Gene,0.033367
GNLY.1,Gene,0.033034
ZNF830,Gene,0.032846
rh_lateralorbitofrontal_thickness,MRI,0.032661
NUMA1,Gene,0.032566
ANAPC13,Gene,0.032565
DNAJA1,Gene,0.032525
IPO9,Gene,0.032345
LMBRD1,Gene,0.032334
DOCK11,Gene,0.031972
SLC4A7,Gene,0.031615
rh_supramarginal_thickness,MRI,0.031358
EstimatedTotalIntraCranialVol,MRI,0.031209
IFIH1,Gene,0.031183
KCNJ15,Gene,0.031141
IAH1,Gene,0.030829
rh_entorhinal_thickness,MRI,0.030777
FAM13B,Gene,0.030632
SEC31A.1,Gene,0.030614
PTPRA,Gene,0.030305
NDUFAB1,Gene,0.030236
Left-Caudate,MRI,0.030233
PANK2.1,Gene,0.030016
lh_bankssts_thickness,MRI,0.02999
lhCortexVol,MRI,0.02966
PNPO,Gene,0.029486
RAP1GAP2,Gene,0.029329
PIGY,Gene,0.029227
PFKFB3,Gene,0.028831
CC_Central,MRI,0.028236
FCGR3B,Gene,0.028223
lhSurfaceHoles,MRI,0.02818
RPS17P16,Gene,0.028101
EFR3A,Gene,0.02802
ITM2C,Gene,0.027689
rh_MeanThickness_thickness,MRI,0.027617
TUBA1B,Gene,0.027573
lh_isthmuscingulate_thickness,MRI,0.02741
RANBP1.1,Gene,0.027325
ITFG1,Gene,0.027262
lh_frontalpole_thickness,MRI,0.027187
PPP1R21,Gene,0.027151
PAG1,Gene,0.026586
rh_rostralanteriorcingulate_thickness,MRI,0.026459
rh_paracentral_thickness,MRI,0.026446
IL7R,Gene,0.026395
HLA-DRA.1,Gene,0.026203
TMED10P1,Gene,0.026088
PNKD,Gene,0.025927
lh_parstriangularis_thickness,MRI,0.025849
lh_postcentral_thickness,MRI,0.025826
lh_inferiortemporal_thickness,MRI,0.025723
LBR,Gene,0.025325
TMEM267,Gene,0.025304
CANX.1,Gene,0.025281
MKLN1,Gene,0.025266
lh_medialorbitofrontal_thickness,MRI,0.024969
HIGD1A,Gene,0.024957
AP1G1,Gene,0.024516
CLCN7,Gene,0.023798
rh_lateraloccipital_thickness,MRI,0.02342
DDX17,Gene,0.02341
lh_rostralmiddlefrontal_thickness,MRI,0.023366
SNRNP25,Gene,0.02309
CC_Anterior,MRI,0.022598
WDR59,Gene,0.022547
lh_entorhinal_thickness,MRI,0.022256
lh_MeanThickness_thickness,MRI,0.022066
GOLGA3,Gene,0.021776
TFIP11,Gene,0.021715
non-WM-hypointensities,MRI,0.021654
GTF3C2,Gene,0.021205
LOC401357,Gene,0.021158
TNS1,Gene,0.021119
P2RY8,Gene,0.021102
FAM107B,Gene,0.020776
EEF1D,Gene,0.020767
CRBN.1,Gene,0.020426
lh_parsopercularis_thickness,MRI,0.020358
GNL2,Gene,0.020349
GAPT,Gene,0.020144
rh_rostralmiddlefrontal_thickness,MRI,0.020109
PWWP2B,Gene,0.019939
IL27RA,Gene,0.019864
rh_insula_thickness,MRI,0.019745
lh_rostralanteriorcingulate_thickness,MRI,0.019739
Right-Inf-Lat-Vent,MRI,0.019711
CAMLG,Gene,0.019598
NONO,Gene,0.019448
lh_precentral_thickness,MRI,0.019259
