Task,Config,Acc,Acc_std,Sens,Sens_std,Spec,Spec_std,Prec,Prec_std,F1,F1_std,Gm,Gm_std,AUC,AUC_std,MCC,MCC_std,BA,BA_std
AD_vs_CN,Config1_MRI_only_no_clinical,0.8392,0.0528,0.8282,0.0972,0.8503,0.0664,0.8471,0.0581,0.8337,0.0626,0.8366,0.0559,0.921,0.0353,0.6834,0.1026,0.8392,0.053
AD_vs_CN,Config2_Gene_only_no_clinical,0.8145,0.0573,0.8272,0.083,0.802,0.0915,0.8097,0.0748,0.815,0.0575,0.8118,0.0574,0.9007,0.0403,0.6349,0.115,0.8146,0.0571
AD_vs_CN,Config3_MRI_Gene_no_clinical,0.9136,0.0347,0.9148,0.0497,0.9126,0.0593,0.9146,0.0523,0.9131,0.0342,0.9127,0.0349,0.9628,0.0262,0.8302,0.0679,0.9137,0.0343
AD_vs_CN,Config4_MRI_Gene_with_clinical,0.9117,0.0374,0.9071,0.0549,0.9165,0.06,0.9175,0.0561,0.9104,0.038,0.9107,0.0374,0.9644,0.0227,0.8265,0.0741,0.9118,0.0372
AD_vs_MCI,Config1_MRI_only_no_clinical,0.6967,0.0682,0.6638,0.1065,0.7274,0.0968,0.694,0.085,0.6737,0.0789,0.6906,0.0703,0.7582,0.0671,0.3962,0.1378,0.6956,0.0683
AD_vs_MCI,Config2_Gene_only_no_clinical,0.6794,0.0599,0.6563,0.1009,0.7012,0.1106,0.6754,0.0838,0.6595,0.0642,0.6728,0.0592,0.7425,0.0626,0.3639,0.123,0.6788,0.0594
AD_vs_MCI,Config3_MRI_Gene_no_clinical,0.7532,0.0645,0.7258,0.0967,0.7787,0.0941,0.756,0.0836,0.7359,0.0702,0.7484,0.0656,0.8246,0.0548,0.5103,0.129,0.7522,0.0643
AD_vs_MCI,Config4_MRI_Gene_with_clinical,0.7751,0.0592,0.7491,0.1064,0.7994,0.0847,0.7789,0.0793,0.7582,0.0698,0.7701,0.0615,0.8386,0.0508,0.5554,0.119,0.7743,0.0597
MCI_vs_CN,Config1_MRI_only_no_clinical,0.6388,0.0659,0.6463,0.1038,0.6306,0.0918,0.6545,0.0649,0.6471,0.0736,0.6342,0.0663,0.7054,0.0807,0.2798,0.132,0.6385,0.0655
MCI_vs_CN,Config2_Gene_only_no_clinical,0.767,0.0559,0.7993,0.0722,0.7326,0.1057,0.7693,0.072,0.7807,0.05,0.7619,0.0592,0.8401,0.0572,0.5381,0.1131,0.766,0.057
MCI_vs_CN,Config3_MRI_Gene_no_clinical,0.7896,0.0706,0.8061,0.0945,0.772,0.1024,0.7965,0.0779,0.798,0.0702,0.7858,0.0723,0.8546,0.059,0.5835,0.1414,0.7891,0.0708
MCI_vs_CN,Config4_MRI_Gene_with_clinical,0.7919,0.0616,0.8143,0.0765,0.7681,0.0996,0.7957,0.0729,0.8022,0.0584,0.7882,0.0637,0.8565,0.06,0.5874,0.1231,0.7912,0.0623
