fold,Acc,Sens,Spec,Prec,F1,Gm,AUC,MCC,BA
1,0.7906976744186046,0.8571428571428571,0.7272727272727273,0.75,0.7999999999999999,0.7895420339517227,0.8528138528138528,0.5882478588180023,0.7922077922077921
2,0.7674418604651163,0.5238095238095238,1.0,1.0,0.6875000000000001,0.7237468644557459,0.8203463203463204,0.600099198148979,0.7619047619047619
3,0.7441860465116279,0.8,0.6956521739130435,0.6956521739130435,0.7441860465116279,0.746003846592251,0.8282608695652174,0.4956521739130435,0.7478260869565218
4,0.813953488372093,0.7,0.9130434782608695,0.875,0.7777777777777777,0.799456337008225,0.8804347826086957,0.6325987349183445,0.8065217391304347
5,0.7619047619047619,0.8,0.7272727272727273,0.7272727272727273,0.761904761904762,0.7627700713964739,0.8227272727272728,0.5272727272727272,0.7636363636363637
6,0.7674418604651163,0.7142857142857143,0.8181818181818182,0.7894736842105263,0.7500000000000001,0.7644707871564383,0.8181818181818181,0.5359591602564021,0.7662337662337663
7,0.8837209302325582,0.8095238095238095,0.9545454545454546,0.9444444444444444,0.8717948717948718,0.8790490729915326,0.9393939393939393,0.7741898277359949,0.8820346320346321
8,0.7441860465116279,0.7,0.782608695652174,0.7368421052631579,0.717948717948718,0.7401527456927534,0.7608695652173914,0.4847207788094203,0.741304347826087
9,0.7209302325581395,0.85,0.6086956521739131,0.6538461538461539,0.7391304347826088,0.7192991758286854,0.741304347826087,0.46794240713977175,0.7293478260869566
10,0.6666666666666666,0.6,0.7272727272727273,0.6666666666666666,0.631578947368421,0.6605782590758164,0.75,0.3302891295379082,0.6636363636363636
11,0.813953488372093,0.8571428571428571,0.7727272727272727,0.782608695652174,0.8181818181818182,0.8138413004619895,0.854978354978355,0.6312379276369634,0.8149350649350648
12,0.813953488372093,0.9047619047619048,0.7272727272727273,0.76,0.8260869565217391,0.8111773283374345,0.8701298701298701,0.6404063164275084,0.8160173160173161
13,0.8372093023255814,0.75,0.9130434782608695,0.8823529411764706,0.8108108108108107,0.8275159265510557,0.8521739130434782,0.6764096406522767,0.8315217391304348
14,0.7674418604651163,0.75,0.782608695652174,0.75,0.75,0.7661308776828738,0.8282608695652174,0.532608695652174,0.7663043478260869
15,0.8333333333333334,0.75,0.9090909090909091,0.8823529411764706,0.8108108108108107,0.8257228238447705,0.8818181818181817,0.6706210705911764,0.8295454545454546
16,0.7906976744186046,0.7142857142857143,0.8636363636363636,0.8333333333333334,0.7692307692307692,0.7854190708679775,0.8614718614718614,0.5855770085141944,0.788961038961039
17,0.6976744186046512,0.5714285714285714,0.8181818181818182,0.75,0.6486486486486486,0.6837634587578277,0.7900432900432901,0.40291148201269017,0.6948051948051948
18,0.8372093023255814,0.8,0.8695652173913043,0.8421052631578947,0.8205128205128205,0.8340576562282991,0.8456521739130435,0.6724954949247813,0.8347826086956522
19,0.7674418604651163,0.8,0.7391304347826086,0.7272727272727273,0.761904761904762,0.7689631641542312,0.808695652173913,0.5379622201167249,0.7695652173913043
20,0.8095238095238095,0.75,0.8636363636363636,0.8333333333333334,0.7894736842105262,0.8048150549829897,0.8181818181818181,0.6192921178835779,0.8068181818181819
21,0.7906976744186046,0.7619047619047619,0.8181818181818182,0.8,0.7804878048780488,0.7895420339517227,0.841991341991342,0.5813462701261382,0.7900432900432901
22,0.6976744186046512,0.6666666666666666,0.7272727272727273,0.7,0.6829268292682926,0.6963106238227914,0.7662337662337663,0.394794855085661,0.696969696969697
23,0.6976744186046512,0.6,0.782608695652174,0.7058823529411765,0.6486486486486486,0.6852482888641929,0.7956521739130434,0.3903216287042646,0.691304347826087
24,0.9069767441860465,0.9,0.9130434782608695,0.9,0.9,0.9064982793336028,0.8978260869565219,0.8130434782608695,0.9065217391304348
25,0.8095238095238095,0.8,0.8181818181818182,0.8,0.8000000000000002,0.8090398349558906,0.9068181818181817,0.6181818181818182,0.8090909090909091
26,0.8372093023255814,0.7619047619047619,0.9090909090909091,0.8888888888888888,0.8205128205128205,0.832250378576479,0.9004329004329005,0.6798834181250947,0.8354978354978355
27,0.7674418604651163,0.8571428571428571,0.6818181818181818,0.72,0.782608695652174,0.7644707871564383,0.803030303030303,0.5460999068166082,0.7694805194805194
28,0.7209302325581395,0.7,0.7391304347826086,0.7,0.7,0.7192991758286853,0.8347826086956522,0.4391304347826087,0.7195652173913043
29,0.7906976744186046,0.8,0.782608695652174,0.7619047619047619,0.7804878048780488,0.7912565680749445,0.8847826086956522,0.5813462701261382,0.791304347826087
30,0.7619047619047619,0.6,0.9090909090909091,0.8571428571428571,0.7058823529411764,0.7385489458759964,0.8659090909090909,0.5393598899705937,0.7545454545454545
31,0.8837209302325582,0.9523809523809523,0.8181818181818182,0.8333333333333334,0.888888888888889,0.8827348295047496,0.9090909090909091,0.7756156953304031,0.8852813852813852
32,0.7674418604651163,0.7619047619047619,0.7727272727272727,0.7619047619047619,0.7619047619047619,0.7672969364884684,0.8181818181818181,0.5346320346320347,0.7673160173160173
33,0.7441860465116279,0.7,0.782608695652174,0.7368421052631579,0.717948717948718,0.7401527456927534,0.8043478260869564,0.4847207788094203,0.741304347826087
34,0.7906976744186046,0.9,0.6956521739130435,0.72,0.7999999999999999,0.7912565680749445,0.8847826086956522,0.6022341657014855,0.7978260869565217
35,0.6428571428571429,0.55,0.7272727272727273,0.6470588235294118,0.5945945945945946,0.6324555320336759,0.740909090909091,0.28212334693835694,0.6386363636363637
36,0.6744186046511628,0.6666666666666666,0.6818181818181818,0.6666666666666666,0.6666666666666666,0.674199862463242,0.738095238095238,0.3484848484848485,0.6742424242424242
37,0.7441860465116279,0.6190476190476191,0.8636363636363636,0.8125,0.7027027027027026,0.7311853627036271,0.8701298701298701,0.49916255827127726,0.7413419913419914
38,0.7674418604651163,0.8,0.7391304347826086,0.7272727272727273,0.761904761904762,0.7689631641542312,0.8195652173913044,0.5379622201167249,0.7695652173913043
39,0.7209302325581395,0.7,0.7391304347826086,0.7,0.7,0.7192991758286853,0.8739130434782608,0.4391304347826087,0.7195652173913043
40,0.7380952380952381,0.8,0.6818181818181818,0.6956521739130435,0.7441860465116279,0.7385489458759964,0.8681818181818182,0.48346919127704885,0.740909090909091
41,0.7906976744186046,0.7142857142857143,0.8636363636363636,0.8333333333333334,0.7692307692307692,0.7854190708679775,0.8484848484848484,0.5855770085141944,0.788961038961039
42,0.8372093023255814,0.8095238095238095,0.8636363636363636,0.85,0.8292682926829269,0.8361424514603951,0.8744588744588745,0.6746219776463768,0.8365800865800865
43,0.8837209302325582,0.95,0.8260869565217391,0.8260869565217391,0.8837209302325583,0.8858795678282981,0.941304347826087,0.7760869565217391,0.8880434782608695
44,0.7209302325581395,0.8,0.6521739130434783,0.6666666666666666,0.7272727272727272,0.7223151185146152,0.7391304347826086,0.4541528017673848,0.7260869565217392
45,0.8333333333333334,0.85,0.8181818181818182,0.8095238095238095,0.8292682926829269,0.833939173713854,0.8977272727272727,0.6674238124719146,0.8340909090909091
