fold,Acc,Sens,Spec,Prec,F1,Gm,AUC,MCC,BA
1,0.8409090909090909,0.8695652173913043,0.8095238095238095,0.8333333333333334,0.851063829787234,0.839007596754647,0.8633540372670808,0.6812078745816099,0.839544513457557
2,0.7674418604651163,0.7272727272727273,0.8095238095238095,0.8,0.761904761904762,0.7672969364884684,0.8073593073593074,0.5379622201167249,0.7683982683982684
3,0.7674418604651163,0.9090909090909091,0.6190476190476191,0.7142857142857143,0.8,0.750180353495453,0.8160173160173161,0.5539163613712489,0.7640692640692641
4,0.813953488372093,0.8636363636363636,0.7619047619047619,0.7916666666666666,0.8260869565217391,0.8111773283374345,0.8441558441558441,0.6296430785126026,0.8127705627705628
5,0.6976744186046512,0.6086956521739131,0.8,0.7777777777777778,0.6829268292682927,0.6978227007909176,0.808695652173913,0.4132117633280265,0.7043478260869566
6,0.8409090909090909,0.7391304347826086,0.9523809523809523,0.9444444444444444,0.8292682926829269,0.8390075967546469,0.9751552795031055,0.7025058981907539,0.8457556935817805
7,0.7209302325581395,0.8636363636363636,0.5714285714285714,0.6785714285714286,0.76,0.7025001733142089,0.8354978354978355,0.45629995342467633,0.7175324675324675
8,0.7674418604651163,0.9090909090909091,0.6190476190476191,0.7142857142857143,0.8,0.750180353495453,0.8961038961038961,0.5539163613712489,0.7640692640692641
9,0.6976744186046512,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.711111111111111,0.6963106238227914,0.7424242424242424,0.394794855085661,0.696969696969697
10,0.7674418604651163,0.7391304347826086,0.8,0.8095238095238095,0.7727272727272727,0.7689631641542312,0.8521739130434782,0.5379622201167249,0.7695652173913043
11,0.75,0.8260869565217391,0.6666666666666666,0.7307692307692307,0.7755102040816326,0.7421082385212816,0.8219461697722568,0.5005880352377229,0.7463768115942029
12,0.7674418604651163,0.7727272727272727,0.7619047619047619,0.7727272727272727,0.7727272727272727,0.7672969364884684,0.8376623376623377,0.5346320346320347,0.7673160173160173
13,0.7209302325581395,0.6818181818181818,0.7619047619047619,0.75,0.7142857142857143,0.7207499701564472,0.8181818181818182,0.4446865125964863,0.7218614718614718
14,0.813953488372093,0.9090909090909091,0.7142857142857143,0.7692307692307693,0.8333333333333333,0.8058229640253803,0.9004329004329005,0.6373241351470041,0.8116883116883117
15,0.8604651162790697,0.782608695652174,0.95,0.9473684210526315,0.8571428571428571,0.8622518546628736,0.9456521739130435,0.7358148759404264,0.866304347826087
