Feature,Modality,Mean_Abs_SHAP
RNF13,Gene,0.205568
FHIP2A,Gene,0.198036
BAZ1A,Gene,0.195746
Left-Cerebellum-White-Matter,MRI,0.192143
rh_rostralmiddlefrontal_thickness,MRI,0.183829
CC_Posterior,MRI,0.16502
CREB5.1,Gene,0.163738
USP38,Gene,0.156935
Left-Cerebellum-Cortex,MRI,0.15022
STK26,Gene,0.149049
Left-Accumbens-area,MRI,0.14721
Right-Pallidum,MRI,0.144343
Right-Cerebellum-White-Matter,MRI,0.141735
Right-Hippocampus,MRI,0.141246
lh_lateralorbitofrontal_thickness,MRI,0.125155
rh_parahippocampal_thickness,MRI,0.124138
rh_lateralorbitofrontal_thickness,MRI,0.124091
RGS18,Gene,0.122394
lh_parahippocampal_thickness,MRI,0.12199
rh_insula_thickness,MRI,0.121623
SRGN.1,Gene,0.118957
rh_rostralanteriorcingulate_thickness,MRI,0.117752
lh_inferiorparietal_thickness,MRI,0.114237
APOE,MRI,0.1132
Right-Thalamus-Proper,MRI,0.112798
PTTG1IP,Gene,0.112751
WIPF1,Gene,0.11219
CD46,Gene,0.112161
LAMP2,Gene,0.112078
BIRC2,Gene,0.111947
lh_rostralanteriorcingulate_thickness,MRI,0.109795
XRCC6.1,Gene,0.105978
CLSTN1,Gene,0.104837
rh_superiorparietal_thickness,MRI,0.103716
lh_parstriangularis_thickness,MRI,0.103402
AMD1,Gene,0.102693
NABP1,Gene,0.100651
Age,MRI,0.099811
lh_paracentral_thickness,MRI,0.099604
rh_cuneus_thickness,MRI,0.099371
rh_inferiortemporal_thickness,MRI,0.09902
ITGAL,Gene,0.098973
GNG10,Gene,0.098139
ARL6IP6,Gene,0.097025
rh_parsorbitalis_thickness,MRI,0.096055
Right-Lateral-Ventricle,MRI,0.095626
lh_lateraloccipital_thickness,MRI,0.094475
rh_supramarginal_thickness,MRI,0.093792
Right-Accumbens-area,MRI,0.092595
OGT.1,Gene,0.092157
CCPG1,Gene,0.092135
rh_fusiform_thickness,MRI,0.090851
CC_Mid_Anterior,MRI,0.090739
lh_superiortemporal_thickness,MRI,0.090276
rh_posteriorcingulate_thickness,MRI,0.089825
rh_paracentral_thickness,MRI,0.08977
TSNAX,Gene,0.089387
CD48,Gene,0.08893
rh_frontalpole_thickness,MRI,0.08865
lh_caudalanteriorcingulate_thickness,MRI,0.088166
rh_transversetemporal_thickness,MRI,0.088115
HEBP2,Gene,0.087563
RAB8B,Gene,0.087285
HIGD1A,Gene,0.08716
lh_postcentral_thickness,MRI,0.085835
rh_caudalanteriorcingulate_thickness,MRI,0.085379
FKBP5,Gene,0.085017
SH3BGRL,Gene,0.084917
Optic-Chiasm,MRI,0.08457
lh_superiorfrontal_thickness,MRI,0.083633
lh_middletemporal_thickness,MRI,0.083621
EVI2B,Gene,0.083602
VBP1,Gene,0.082997
Right-vessel,MRI,0.082502
TP53INP1.1,Gene,0.082418
NMI,Gene,0.081459
LY96,Gene,0.081216
TMED7,Gene,0.08095
CLDND1.1,Gene,0.080544
CALM2,Gene,0.07973
PCMT1,Gene,0.079153
rh_precentral_thickness,MRI,0.07899
CC_Mid_Posterior,MRI,0.077654
rh_lingual_thickness,MRI,0.077434
EVI2A,Gene,0.077399
MIER1,Gene,0.077178
Right-Cerebellum-Cortex,MRI,0.076665
lh_parsorbitalis_thickness,MRI,0.076099
TRIM33,Gene,0.076041
rh_superiorfrontal_thickness,MRI,0.075977
MaskVol-to-eTIV,MRI,0.075594
lh_insula_thickness,MRI,0.075528
TMEM33,Gene,0.075369
lh_medialorbitofrontal_thickness,MRI,0.075189
SLC35A1,Gene,0.07512
ASAP1,Gene,0.074745
PELI1,Gene,0.074034
RB1CC1,Gene,0.072988
SNORA25,Gene,0.071459
rh_superiortemporal_thickness,MRI,0.070214
PTEN,Gene,0.070045
FYB1,Gene,0.070026
lh_rostralmiddlefrontal_thickness,MRI,0.069367
SFT2D1,Gene,0.069363
CD302,Gene,0.069045
XPO1,Gene,0.068182
USP9X,Gene,0.067958
lh_temporalpole_thickness,MRI,0.067799
WM-hypointensities,MRI,0.067642
DEK,Gene,0.067214
rh_middletemporal_thickness,MRI,0.067182
Right-Inf-Lat-Vent,MRI,0.065474
LAMTOR3,Gene,0.06545
CD58.1,Gene,0.065445
TMED5,Gene,0.065418
rh_inferiorparietal_thickness,MRI,0.064283
PPP2R3C.1,Gene,0.064184
STX6,Gene,0.063667
Right-Amygdala,MRI,0.062825
SRGN,Gene,0.062823
CNOT7,Gene,0.06281
RPRD1A,Gene,0.062608
HSBP1,Gene,0.062485
rh_parstriangularis_thickness,MRI,0.061458
NOP10,Gene,0.061421
CASP3,Gene,0.061181
RHOT1,Gene,0.060636
lh_cuneus_thickness,MRI,0.059434
lh_bankssts_thickness,MRI,0.058969
rh_medialorbitofrontal_thickness,MRI,0.058766
STAG2,Gene,0.058658
ANKRD12,Gene,0.058035
DCP2,Gene,0.05785
DSE,Gene,0.057595
rh_pericalcarine_thickness,MRI,0.05722
B2M.1,Gene,0.057053
ADD3.1,Gene,0.056804
PHF20L1,Gene,0.055757
TMEM167B,Gene,0.055669
LMBRD1,Gene,0.055488
MaskVol,MRI,0.054896
